record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold
1,18/12/16,8054,216341,51.8441,51.84,0,0,0
2,25/05/04,8124,217958,13.1031,12.79,0,0,7
3,22/03/06,8011,216085,74.2495,71.82,0,0,2
4,19/01/13,8082,217610,110.6291,105.6,0,0,0
5,18/05/13,8031,216778,52.2367,47.59,0,0,1
6,17/05/21,8151,216190,162.2311,157.48,0,0,0
7,19/04/28,8085,217275,49.5115,56.53,0,0,1
8,25/12/07,8194,217091,6.9448,7.41,0,0,2
9,21/02/07,8154,217888,150.1402,137.55,0,0,0
10,23/04/30,8188,217169,8.5191,9.1,0,0,8
11,25/10/12,8018,216990,190.7335,185.63,0,0,0
12,18/09/02,8050,216875,38.7962,42.35,0,1,1
13,24/02/18,8063,217657,113.4593,100.08,0,0,0
14,18/11/25,8129,217947,270.1479,267.61,0,0,0
15,19/06/30,8163,217577,26.4343,29.31,0,1,1
16,22/11/27,8127,217851,33.1268,32.84,0,0,1
17,23/07/30,8138,216661,157.7557,147.04,0,0,0
18,26/05/31,8195,217959,7.8569,7.85,0,0,6
19,24/12/01,8195,216573,5.5974,5.6,0,0,6
20,24/05/19,8063,217278,63.7522,59.37,0,0,1
21,20/08/30,8000,216130,9.8221,9.93,0,0,3
22,22/04/17,8088,216838,13.9782,14.25,0,1,12
23,20/01/26,8025,216958,275.5131,272.23,0,1,0
24,25/10/19,8138,217400,77.6929,72.5,0,0,0
25,23/01/01,8086,217555,167.0887,166.21,0,0,0
26,17/05/28,8001,217222,207.3692,197.41,0,0,0
27,21/10/31,8092,216838,8.7255,8.22,0,0,5
28,26/02/01,8167,216220,235.8468,223.2,0,0,0
29,18/02/11,8118,217433,182.0561,173.69,0,0,0
30,26/10/11,8131,217960,6.2653,6.02,0,0,3
31,26/02/08,8079,216642,290.9877,273.27,0,0,0
32,20/08/16,8110,217194,25.4668,32.65,1,0,3
33,21/08/29,8164,217168,242.4182,270.25,1,0,0
34,26/08/30,8125,216487,142.9703,145.85,0,0,2
35,19/06/30,8188,216851,32.4057,30.31,0,0,1
36,26/04/12,8004,216353,39.2751,40.61,0,0,1
37,17/05/21,8142,217204,13.5364,15.42,1,0,7
38,20/03/08,8194,216947,34.5196,36.71,0,0,5
39,22/03/27,8025,216160,7.9778,7.76,0,0,5
40,24/06/02,8005,216463,219.8287,206.38,0,0,0
41,23/01/15,8122,217083,76.0155,92.72,1,0,1
42,17/04/02,8043,216214,118.435,135.13,1,0,1
43,21/08/15,8057,216579,42.0997,43.99,0,0,1
44,23/08/13,8080,217975,8.2778,8.36,0,0,4
45,23/07/02,8045,217896,46.4455,45.11,0,0,0
46,18/09/30,8101,217215,18.2795,19.25,1,0,4
47,24/01/07,8169,216487,5.5193,5.21,0,0,7
48,25/09/14,8047,216224,70.0431,62.03,0,0,1
49,25/03/09,8113,217415,160.3584,164.77,0,0,0
50,26/09/27,8154,216708,99.2466,91.71,0,0,0
51,17/08/27,8019,216160,12.1368,12.49,0,0,5
52,20/12/06,8197,217784,139.4935,143.06,0,0,0
53,18/07/15,8114,217944,19.2104,17.75,0,0,3
54,24/06/02,8162,216454,13.5408,12.23,0,0,8
55,17/01/08,8075,217134,259.8704,255.87,0,0,0
56,24/06/16,8175,217926,5.3034,5.35,0,0,11
57,19/01/06,8194,217082,10.8993,9.93,0,0,2
58,26/02/15,8195,216544,38.5529,33.84,0,0,4
59,24/09/08,8120,217576,9.6688,9.91,0,0,2
60,20/02/02,8179,217696,10.501,9.9,0,0,2
61,20/11/08,8108,216028,74.5191,67.13,0,0,1
62,22/02/27,8067,216766,145.508,143.0,0,0,2
63,22/03/06,8131,217958,77.0881,75.06,0,0,0
64,25/09/21,8166,216184,7.9701,7.57,0,0,3
65,25/11/02,8148,217896,200.8067,195.47,0,0,0
66,21/10/24,8065,217247,205.2814,218.65,0,0,0
67,22/08/28,8143,216356,13.9938,15.8,1,0,2
68,23/06/18,8134,216491,51.5084,48.14,0,0,0
69,17/12/31,8082,216732,34.831,36.46,0,0,1
70,21/02/21,8008,217855,83.7335,77.12,0,0,1
71,20/08/02,8016,217621,301.0594,274.1,0,0,0
72,24/04/07,8112,216577,314.1433,283.73,0,0,0
73,26/06/07,8139,216113,42.6414,40.21,0,0,1
74,17/10/08,8184,216377,7.8747,7.29,0,0,4
75,19/12/29,8172,217800,21.2628,19.67,0,0,1
76,17/04/09,8119,217308,24.7889,27.19,0,0,3
77,18/03/25,8010,216096,45.645,44.63,0,0,1
78,23/07/30,8140,216841,259.9492,255.07,0,0,0
79,19/06/16,8158,216123,15.1535,14.64,1,0,9
80,26/01/11,8025,216155,48.2648,45.01,0,0,3
81,18/03/11,8062,216109,14.7927,16.46,1,0,11
82,19/08/25,8158,216052,233.8652,215.73,0,0,0
83,26/07/19,8021,217197,287.0326,287.92,0,0,1
84,24/06/30,8133,217702,187.6903,176.72,0,0,2
85,25/01/05,8147,216587,20.0005,20.01,0,0,1
86,22/07/10,8009,217337,15.8839,15.6,0,0,1
87,24/03/31,8082,216725,30.6233,29.22,0,0,1
88,26/05/17,8162,217717,122.3963,106.73,0,0,1
89,21/05/30,8025,217413,6.0919,5.19,0,1,29
90,17/10/08,8070,216044,310.5132,294.05,1,0,0
91,17/07/09,8036,216935,188.5232,186.13,0,0,0
92,19/07/28,8135,217686,6.0308,5.51,0,1,12
93,20/11/01,8132,217140,26.3196,23.9,0,0,1
94,17/08/13,8171,216121,90.5316,83.57,0,0,0
95,17/11/26,8125,216481,14.6735,13.43,0,0,4
96,26/08/16,8114,217193,8.6973,8.97,0,0,4
97,24/10/13,8091,216677,66.2669,65.76,1,0,2
98,18/11/18,8194,217423,186.9568,202.1,0,0,0
99,25/11/02,8199,217865,252.0076,250.13,0,0,0
100,17/01/29,8116,217966,5.0997,5.21,0,0,12
101,21/02/28,8048,217684,201.8618,179.43,0,0,0
102,26/08/16,8035,216499,55.2818,49.67,0,0,0
103,24/08/11,8025,216073,13.9497,13.23,0,0,1
104,24/07/07,8044,216970,64.1544,62.52,0,0,0
105,20/12/13,8060,216148,311.1497,294.87,0,0,0
106,17/04/09,8171,217560,17.024,15.49,0,0,2
107,25/10/26,8131,216891,17.0468,15.54,0,0,1
108,21/08/08,8075,217084,84.73,87.46,0,0,1
109,18/10/28,8057,217889,6.1276,5.97,0,0,3
110,26/04/12,8104,217077,147.0932,143.89,0,0,0
111,24/10/13,8025,217246,71.5629,72.32,0,0,0
112,21/05/30,8094,217754,139.2782,156.58,1,0,4
113,20/04/05,8078,216472,13.3989,12.86,0,0,2
114,17/09/03,8127,217339,155.7598,160.47,0,0,0
115,20/01/19,8156,216169,30.123,31.38,0,0,0
116,21/08/22,8136,216700,9.5559,8.61,0,0,7
117,18/08/19,8077,216031,190.7406,200.37,0,1,0
118,17/07/09,8035,216052,92.1704,89.66,0,0,0
119,23/07/02,8131,216939,10.9952,9.96,0,0,4
120,23/04/30,8058,216138,13.6272,13.72,0,1,9
121,26/09/06,8164,217397,16.4679,15.03,0,0,0
122,23/08/27,8123,217070,263.3094,258.18,0,0,0
123,26/01/18,8087,216089,179.4718,188.25,1,0,1
124,21/05/30,8080,216827,21.5653,20.65,0,0,2
125,20/08/16,8140,216035,30.8883,33.78,0,1,1
126,21/04/18,8147,217015,13.209,16.08,1,0,14
127,24/05/12,8016,217979,116.3873,104.6,0,0,0
128,24/03/17,8050,216928,9.6505,9.67,0,0,4
129,22/05/29,8054,217248,19.6511,20.0,0,0,1
130,21/12/12,8160,216553,69.9547,59.8,0,0,1
131,23/11/12,8148,216739,186.548,181.56,0,0,0
132,25/09/21,8080,216268,77.8435,67.46,0,0,1
133,24/11/10,8149,216909,238.8156,234.39,0,0,0
134,23/01/29,8152,216185,219.2656,225.99,0,0,0
135,21/04/18,8194,217394,94.0976,94.67,1,0,0
136,21/06/20,8109,216868,15.539,15.65,0,0,4
137,24/02/25,8139,217258,86.6575,81.96,0,0,1
138,26/01/11,8142,217145,9.4035,11.01,1,0,10
139,21/06/13,8085,216423,17.5712,19.56,0,0,4
140,19/02/24,8001,216832,110.3158,111.33,0,0,1
141,26/07/05,8131,217412,163.1737,162.75,0,0,0
142,25/06/15,8044,216925,27.8647,27.55,0,0,3
143,22/02/13,8012,217140,40.958,42.63,0,0,1
144,26/10/04,8054,217489,24.5456,24.3,0,0,0
145,24/05/19,8159,217452,39.2787,35.58,0,0,5
146,24/05/26,8021,216868,42.4499,40.76,0,0,1
147,19/02/24,8088,217015,91.8309,84.95,0,0,3
148,18/07/15,8054,216441,118.3166,108.02,0,0,0
149,19/02/24,8144,216038,278.6412,270.83,0,0,0
150,17/01/08,8197,216907,29.1346,30.0,0,0,1
151,21/03/14,8178,217185,8.1928,7.03,0,0,5
152,21/04/18,8135,217644,89.0361,83.68,0,0,2
153,24/05/12,8188,217549,41.1434,38.46,0,0,2
154,24/09/15,8096,216165,169.1109,156.47,0,0,0
155,19/06/23,8137,217935,9.9242,9.11,0,0,7
156,17/12/31,8018,217897,79.0075,70.1,0,0,1
157,24/12/15,8127,217468,33.3492,32.78,0,0,0
158,21/09/19,8141,216442,28.318,27.83,0,0,0
159,25/05/25,8066,216330,51.4801,50.51,0,0,2
160,20/11/15,8182,216992,78.963,82.33,0,0,0
161,20/07/05,8060,217358,178.135,162.95,0,0,0
162,19/05/05,8183,217135,13.3358,13.09,0,0,1
163,24/09/01,8062,217769,17.6551,16.6,0,0,1
164,22/08/14,8104,216713,48.4675,47.25,0,0,0
165,22/05/08,8103,216834,19.1647,20.66,1,0,3
166,20/10/11,8138,216138,52.1875,51.24,0,0,0
